url	categories	description	notes
https://github.com/NikHeck/jev-benchmark	harness;comparison;domain-benchmark	Harness benchmarking Jev (recursive only) vs GPT-5.6 Luna and DeepSeek V4.1 Flash (direct+recursive) on COICOP 2018 receipt-line classification; no results published in README	Well-specified methodology (direct vs recursive tree-walk) but README contains no headline accuracy numbers.
https://github.com/nyarlathoteppppp/pi-jev-context	harness	Context-management extension using Jev to filter noisy command logs for a coding agent; reports token-savings/replay statistics rather than measuring Jev's decision accuracy or calibration	Repeatedly disclaims capability-equivalence claims ('Recall is an escape hatch, not proof of losslessness'); no accuracy/calibration measurement of Jev's judgments themselves.
https://github.com/ommcodes/jev-scenario-packs	harness	"Draft scenario/question library for Jev decisions with a baseline runner; author states explicitly ""no live Jev accuracy results"	Labels are drafts, not independently reviewed; author states the split is not a blind benchmark.
https://github.com/PavitarSinghArneja/one-dollar-tahoe	adversarial;harness	Prompt-injection firewall harness comparing real Jev API against blocklist, spotlighting, LLM-judge and a free Groq stand-in on ~36 attacks + 38 benign messages; results generated at runtime, not shown in README	"README states results are demonstration-scale, not ""statistically powered""; numbers only produced after running, none included as text/tables in README itself."
https://github.com/peekuh/jev-vs-rerankers	harness;domain-benchmark	Head-to-head harness (BEIR nfcorpus, 323-query test split) comparing Jev vs rerankers on nDCG@10; no result numbers included in README	Well-designed, pre-registered decision rule and paired bootstrap CIs, but actual numbers live only in generated result files not present in this README excerpt.
https://github.com/piyushpawar54/system-one-bench	harness;calibration;comparison	Calibration-focused benchmark harness comparing local decision models (gemma, Laya) with a Jev backend; cites a published Jev zero-shot Banking77 accuracy of 0.712 but does not run Jev itself in the shown results	Jev backend exists in the harness but no direct Jev run numbers appear in this README; the Jev figure is a citation from elsewhere.
https://github.com/planstack-ai/jev-tetris-benchmark	harness;domain-benchmark	Demo comparing Jev vs Claude Haiku 4.5 on Tetris placement decisions; no numeric results are published in the README, which explicitly labels itself a use-case demo, not a evaluation	README explicitly states: 'This is a use-case benchmark, not a rigorous model evaluation. Results may change...' -- no numbers are given.
https://github.com/pokertools-arena/pokertools-arena.github.io	harness	Browser-based multi-model poker (Texas Hold'em) benchmark arena supporting Jev among OpenAI-compatible models, with a paired fixed-state methodology but no published Jev-specific results in the README	A capable harness/benchmark tool; README documents design rigor but includes no actual head-to-head numbers for Jev.
https://github.com/PPRAMANIK62/yc-jev-bench	harness;domain-benchmark	Benchmark harness comparing Jev vs Haiku for routing/reranking 6,245 YC companies; methodology detailed, but result numbers not in this README	Extensive engineering rigor (bundle checks, resumable scripts) but no inline result numbers to extract from this delta.
https://github.com/prestonkakukdev/Agent-Defense	adversarial;domain-benchmark	Agent security gate built on narrow Jev yes/no questions plus rule tables, with a 53-case dev set and a 24-case held-out set run once; result table in README	Table values not extracted
https://github.com/RealHacker/jeveval	harness;calibration;comparison	CLI/library harness comparing Jev to OpenAI-compatible reference models on fixed-label reasoning benchmarks (FOLIO, ProofWriter, MuSR, CLadder, WinoGrande, CommonsenseQA); computes accuracy/ECE/Brier but README shows no result numbers	Well-built harness with real metric definitions (ECE, Brier) but no run results shown in the README text itself.
https://github.com/ReallyArtificial/jev-by-example	harness;consistency	Ten runnable agent-decision examples (memory reconciliation, semantic-cache boundaries, an option-reorder 'question stress test') built on Jev, but the shipped fixture answers are hand-authored, not live Jev results	README explicitly disclaims that fixture results represent real Jev accuracy, latency or calibration.
https://github.com/reetamdey-alt/jev-agent-eval	harness;calibration;abstention;perturbation	Large offline-first harness (15,090+3,000 cases) for scoring Jev's agent-control decisions on calibration, safety, and robustness gates; no results are published in the README	Near-identical to reetamdey-alt/jev-agent-eval-clean (appears to be an earlier version); tooling only, no reported scorecard numbers in the README.
https://github.com/reetamdey-alt/jev-agent-eval-clean	harness;calibration;abstention;perturbation	Large offline-first harness (15,090+3,000 cases) for scoring Jev's agent-control decisions on calibration, safety, and robustness gates; no results are published in the README	Near-identical to reetamdey-alt/jev-agent-eval (appears to be a later fork); tooling only, no reported scorecard numbers in the README.
https://github.com/rikkooo/jev-trade	calibration;domain-benchmark	Prospective market-judgment simulator that freezes Jev's typed view of a stock before the outcome and scores Brier, calibration and paper P&L against baselines; results depend on the user's run	no committed results seen
https://github.com/rioriost/rspamd-jev	harness;domain-benchmark	Shadow-evaluation plugin for Rspamd logging Jev spam verdicts, latency and agreement with an optional GPT baseline; no committed results	
https://github.com/rlaope/jeval	harness;calibration	Model-agnostic CLI/report tool for measuring classifier confidence calibration, threshold selection and drift, named after Jev but works with any probability-emitting model; shipped example numbers are from a synthetic demo, not real Jev data	"README repeatedly states ""the demo is synthetic... not what a real model does""; with no labels, jeval ""measures nothing"" by design."
https://github.com/rogeriochaves/jev-experiments	comparison;perturbation	Go benchmarks of jev-1.13: latency vs state size and question count, and 'is the customer annoyed' accuracy single vs packed vs gpt-5-mini; numbers on a linked results page only	numbers external
https://github.com/rorshopping/jev-bench	harness	Nightly public benchmark harness for Jev-style decision engines (spam/sentiment/intent); leaderboard currently ships empty, no real numbers yet	"Explicitly ""Placeholder. First real numbers land with the first nightly run."""
https://github.com/rorshopping/jev-on-a-laptop	comparison;domain-benchmark;harness	Open reproduction of Jev's parallel-constrained-decoding idea on local Qwen models; on TypeSafe's own public eval questions a free local 8B model trails Jev's published 86.6% agreement by ~13 points (73.8%)	Explicitly labeled 'Unofficial research repo. Not affiliated with TypeSafe AI'; Jev numbers are TypeSafe's own published figures, not measured live by this repo -- matches the MAYBE reproduction-with-head-to-head pattern.
https://github.com/Saik0s/diffusiongemma-jev-macos	comparison;calibration	Open local DiffusionGemma reproduction benchmarked head-to-head against hosted jev-1.13 on 38 frozen cases; both scored 20/20 on labels with a ceiling effect, hosted Jev faster at the tail (p90 0.51s vs 0.90-0.99s)	Explicitly states the matched suite 'cannot separate quality' (ceiling effect); most numbers are about the reproduction, Jev appears only as a comparison point.
https://github.com/SarathChandraBellam/jev-vs-llm-ticket-router	harness;domain-benchmark	Runnable benchmark comparing Jev Choice vs an OpenRouter LLM on ~110 synthetic support-ticket routing labels; sample report is illustrative only	No real measured numbers included in this README; a well-built harness ready to run.
https://github.com/Shalimov04/open-jev	comparison;calibration	Open distillation pipeline (LLM teacher -> mmBERT student) reproducing the Jev decision shape; on two of ~20 tasks it uses real Jev as the teacher instead of Qwen, giving a small direct comparison of teacher quality	"Deliberately avoids citing Jev's own published claims (""none are repeated here... every number in this repo was produced by the code in this repo""); Jev appears only as one teacher option, not as the main subject."
https://github.com/shikaizhong-design/ego-jev-ultrafast	harness;domain-benchmark	Browser-automation port of jev-ultrafast; reports per-decision latency of 0.6-1.9s but the actual multi-model benchmark table lives only in a separate linked file, not in the README text	Actual result table is in bench/BENCHMARK.md, not shown in the README itself, so no numbers to report beyond latency prose.
https://github.com/sjyangkevin/jev-as-a-judge	harness	Local web app to run Jev and an LLM as judges side by side on RAG/agent data; ships sample datasets but no headline accuracy numbers in the README	"A harness/tool, not itself a completed evaluation; bundled samples are described as illustrative, ""not recorded model results."""
https://github.com/skiingfalcon/jev-email-cascade	harness;comparison	Email-triage cascade comparing Jev against generative-model backends (self-reported confidence, logprob-based, frontier, and open-weight GLiNER2.5) on the same 8-question contract over 74 synthetic emails; published findings are from mock backends only, with real accuracy comparison left to the user to run	A real jev vs gen-json/gen-logprob comparison will differ, and is the point of running it for real -- README explicitly flags its own comparison table as from mocks.
https://github.com/slobodaapl/jev-vs-llm	comparison;calibration	BANKING77 benchmark comparing Jev, local K2 Horizon models, and OpenAI models via NLL/Brier/ECE; full results are published on the author's external blog rather than in the README/repo directly	Repository is fully reproducible (pinned dataset, fixed seed) and raw outputs are saved, but the headline comparison numbers live in an external blog link.
https://github.com/stemirkhan/jev-llm-benchmarks	comparison;language;harness	Compares Jev vs LLMs (DeepSeek, Qwen) on Russian/English comment classification and a 197-comment long-context duplicate-detection task; actual accuracy/latency numbers live only in linked JSON reports, not the README text	README is explicitly methodology-only; headline figures require opening the linked JSON result files, which were not fetched per task instructions.
https://github.com/suidouble/let-jev-speak	harness;consistency	Novelty hack makes Jev generate free text one word at a time via repeated Choice calls; incidentally reports 60/60 routing accuracy on a labeled set	"Author explicitly says this is ""not a good idea"" and a demonstration of misusing the API rather than a robustness study; most content is engineering, not evaluation."
https://github.com/SupremeDreamZ/jev-fastloop	harness;consistency	Decision-service layer over Jev (confidence policy, skill router, second-signal ablation) with small live smoke-test results; cites (not measures) a 2,000-email phishing benchmark showing decomposition lifts a 62.6% single-verdict score to ~95%	The '62.6% -> ~95%' phishing decomposition figure is cited from independent/external evidence, not measured in this repo.
https://github.com/TheoLeeCJ/SemIf	comparison;calibration	Open reproduction (SemIf, formerly OpenJev) of Jev's interface with open 0.6B-27B models; compares against Jev only via TypeSafe's own published records on a shared 102-row subset, not a live run	"Explicitly ""we did not run a live Jev endpoint""; main subject is the open reproduction's own quality/speed, with Jev cited as external context only."
https://github.com/Tomdachs/jev-replay-lab	harness	Local workbench for replaying labeled datasets against Jev with threshold simulation, Brier/ECE/confusion-matrix metrics; ships only a synthetic demo, no live Jev results	"README states live TypeSafe calls have not been verified for this version (""no API credential was available""); explicitly ""demo results are never used as evidence of model quality."""
https://github.com/totally-tim/jev-gate	harness	GitHub PR-review gate built on Jev with a built-in calibrate/evaluate harness against a labeled sample set, but no accuracy numbers shown in the README itself	"README explicitly states ""the small synthetic suite does not establish real-world accuracy""; local model scores are ""advisory estimates...not calibrated against the hosted Jev model."""
https://github.com/trophee-bot/typesafe-oracles	harness;consistency;calibration	Reusable measurement rig for Jev-vs-Haiku probes (accuracy, confidence separation, calibration, cost, churn stability); actual findings live in a separate FINDINGS.md not included in this README	Explicitly defers all numeric claims to a linked FINDINGS.md; states four earlier claims in that file were retracted after methodology fixes.
https://github.com/TrustifAI/typed_evals	harness	Python eval/guardrail library using Jev as an LLM-judge backend for RAG/agent/tool-safety metrics, with optional calibration against human labels; no published benchmark results	"README states ""a raw judge score of 0.8 does not necessarily mean humans would pass 80%"" and calibration is opt-in -- acknowledges the gap but reports no numbers."
https://github.com/us/jev-local	comparison;consistency;harness	Open local server matching Jev's API contract, extensively benchmarking open 0.5B-9B models against it; includes one small head-to-head vs published real jev-1.13.0 outputs on 5 questions (4/5 direction match after per-head temperature fit)	"Explicitly ""not a reproduction of Jev's undisclosed model or training""; the head-to-head vs real Jev is tiny (n=5) and uses only previously published Jev outputs, not a live call."
https://github.com/valentynkit/jev-plays-pokemon-red	domain-benchmark;consistency	Jev plays Pokemon Red by picking among legal in-game moves; measures decision latency (0.2-1.5s over n=6 calls) but explicitly withholds a calibration/Brier claim because the labeled sample is too small	"Author explicitly states ""Calibration is NOT published yet, on purpose"" due to small n; no numeric comparison to other systems (their latency/cost marked ""not run"")."
https://github.com/villagertim/neonhop-3d	harness;domain-benchmark	Jev evaluation testbed built around a 3D hopping game; multiple linked reports (pilot, route-comparison, final bounded test) exist but the README itself states results don't establish Jev's contribution and gives few concrete numbers	"README explicitly says historical/hybrid numbers ""do not establish Jev's contribution""; much of the document is marketing-flavored narrative without accompanying data tables."
https://github.com/vinilana/jev-eval-agent	harness;domain-benchmark	Compares agent step counts when an LLM picks tools directly vs when Jev pre-selects the tool, across 8 models x 6 tasks with distractor tools; headline numbers live in per-run JSON/dashboard files, not stated in the README text	README documents methodology and metric definitions only; actual headline numbers require running the bundled dashboard or reading committed JSON, not fetched here.
https://github.com/Worthify-AI/worthify-open-jev	comparison;harness	"Open reproduction (OpenJev/Gemma recipes) of Jev's typed-decision interface using open Qwen models; compares against ""Published Jev"" numbers quoted from TypeSafe's own eval site, not a live Jev run"	"Jev number is read from TypeSafe's own published records, not run live by this repo; Worthify fork itself adds ""no adapters or benchmark wins released yet."""
https://github.com/xienda/dsh-jev-verify	harness;calibration	Jev plugin for DeepSeek Harness with a built-in self-verification benchmark: 96.3% accuracy (26/27) on a small labeled guard/decision set, median latency 283-308ms, run against the live API	"Primarily a tool/plugin whose ""benchmark"" is a small self-test; the one miss is a documented boundary near-miss (0.01 vs expected 0)."
https://github.com/xucian/fbyte-jev-vs-claude	harness;domain-benchmark	Benchmark harness comparing Jev vs Claude Opus/Sonnet (with/without thinking) on 5 classification tasks, 20 cases each; no results included in README	A YouTube video accompanies the repo but no numeric results are given in this README.
https://github.com/Yaro60/jev-research	harness;domain-benchmark;comparison	Jev-powered research/retrieval engine for coding agents with benchmark scripts (50-question A/B, 100-question holdout with P@1/P@3/MRR/NDCG) but no result numbers shown in the README itself	Benchmark scale is modest... per-category numbers are noisy per its own limitations section; results live in JSONL/JSON outputs, not README text.
https://github.com/Yasir-Khan-7/jev-sentinel	harness;adversarial	"Prompt-injection middleware for LangChain agents using four Jev questions per tool call; harness mechanics are tested but real Jev accuracy is explicitly ""not yet measured"	"README is unusually explicit about the gap: ""Not yet measured: how accurately real Jev answers these questions... Sharing your eval results is the most useful contribution right now."""
https://github.com/zbush/jev-context	harness	Codex MCP plugin filtering ripgrep results through a Jev binary relevance question; ships benchmark/label tooling and metrics definitions but the included benchmark refers to an excluded external repository, so no results are published here	Extremely thorough methodology/metrics documentation (paired token savings, recall@k, task-usage import) but no actual measured numbers in this README.
https://github.com/zefan-cai/open-jev	comparison;calibration;domain-benchmark	Open reproduction (2B/9B LoRA on Qwen) with an audited head-to-head vs real Jev, GPT-5.6 Luna and GPT-6 Astra on 231 public JevBench tasks and a live TREC-DL retrieval run against the Jev API	"Extremely hedged language throughout (many results marked ""pending"" or explicitly not a population-level ranking); Jev numbers here are independently run via the live API, not vendor-supplied."
https://zhuanlan.zhihu.com/p/2085057727869593002	comparison;failure-modes;language	Reports public benchmark data showing Jev trails the top LLM baseline by ~6 points on average across 4 workflows and ~17 points on invoice processing, plus 1/20 completion on browser automation	Direct fetch failed twice (HTTP 403); findings drawn from a web-search snippet summary only, not the full article text.
https://zhuanlan.zhihu.com/p/2085400278489101833	comparison;meta	Hands-on walkthrough of Jev after public launch; repeats vendor-style claims (~10x faster, ~100x cheaper than GPT-5.6) for classification/routing tasks without independently reported metrics found	Direct fetch failed twice (HTTP 403); assessment based on a web-search snippet only, which did not surface original numeric test results beyond restating vendor-style claims.
https://github.com/zsavage8/padflow-jev-evals	harness;domain-benchmark	Public harness for the typed decisions a real SaaS platform (PadFlow) makes, designed to measure Jev or any OpenAI-compatible model on them; the current published baseline table has no Jev row at all, only 3 general LLMs on n=5-7 seed rows	"Explicitly built to also evaluate Jev but no Jev results appear in this snapshot; author states n is far too small to rank models, only to show ""the runner works."""
https://github.com/zurk/hekajev	harness;domain-benchmark	"Git-history commit classifier powered by Jev; states plainly ""measured accuracy requires independent labels"" and its cited 21-repository research report is an unpopulated placeholder link"	Model probabilities are decision signals; measured accuracy requires independent labels -- explicit admission no accuracy validation exists yet; linked research report URL is a placeholder.
